"annotation_id","annotator","created_at","environment","id","lead_time","other","price","quality","sentence","service","updated_at"
1025,"1","2025-06-23T04:00:37.562944Z","",8,6.529,"","","Negative","really bad quality food for health   ","","2025-06-23T04:21:47.746002Z"
1026,"1","2025-06-23T04:21:56.057498Z","",8,7.178,"","","Negative","they will surve just oil   this oil i have removed from dal   more than that came in paneer as well which i have ordered earlier few months back ","","2025-06-23T04:21:56.057498Z"
1027,"1","2025-06-23T04:22:01.675661Z","",9,5.318,"","","","very late delivery","Negative","2025-06-23T04:22:01.676658Z"
1028,"1","2025-06-23T04:22:44.560839Z","",10,42.546,"","Negative","Negative","worst taste   buffet is not at all good   service is too bad  price is not worth with the food   please don t choice this restaurant     rating is too much for it  ","Negative","2025-06-23T04:22:44.560839Z"
1029,"1","2025-06-23T04:22:47.472049Z","",10,2.607,"","",""," ","","2025-06-23T04:22:47.472049Z"
1030,"1","2025-06-23T04:22:49.723083Z","",10,1.981,"","",""," ","","2025-06-23T04:22:49.723083Z"
1031,"1","2025-06-23T04:22:54.861263Z","",11,4.833,"","","","today went to this place ","","2025-06-23T04:22:54.861263Z"
1032,"1","2025-06-23T04:24:53.586979Z","",11,27.921,"Negative","","","i will be brutality true  ","","2025-06-23T04:35:49.312320Z"
1033,"1","2025-06-23T04:25:27.377744Z","",11,33.508,"","","","there s a reason why they are giving huge discounts via different booking table reservation platforms ","Negative","2025-06-23T04:25:27.377744Z"
1034,"1","2025-06-23T04:25:30.187697Z","",11,2.533,"","","","service   very very slow even on a weekday ","Negative","2025-06-23T04:25:30.187697Z"
1035,"1","2025-06-23T04:25:57.172044Z","",11,26.67,"","","","seems kitchen is highly understaffed ","Negative","2025-06-23T04:25:57.172044Z"
1036,"1","2025-06-23T04:26:04.020376Z","",11,6.556,"","","Negative","food  pathetic ","","2025-06-23T04:26:04.020376Z"
1037,"1","2025-06-23T04:26:20.581633Z","",11,16.283,"","","","i am living in hyderabad for last    years ","","2025-06-23T04:26:20.581633Z"
1038,"1","2025-06-23T04:28:55.318402Z","",11,154.453,"","","Negative","i haven t had so pathetic kababs here in hyderabad  like what i got at arena eleven ","","2025-06-23T04:28:55.318402Z"
1039,"1","2025-06-23T04:34:56.713873Z","",11,360.725,"Negative","","","overall a big no ","","2025-06-23T04:34:56.713873Z"
1040,"1","2025-06-23T04:36:07.862313Z","",11,6.805,"Negative","","","please don t waste your money here ","","2025-06-23T04:36:07.862313Z"
1041,"1","2025-06-23T04:36:25.184925Z","",11,17.031,"","","","  ","","2025-06-23T04:36:25.184925Z"
1042,"1","2025-06-23T04:36:29.645167Z","",11,4.189,"","","","ordered fish lemon pepper kabab  ","","2025-06-23T04:36:29.645167Z"
1043,"1","2025-06-23T04:36:37.761390Z","",11,7.809,"","","Negative","it was too salty ","","2025-06-23T04:36:37.761390Z"
1044,"1","2025-06-23T04:36:38.853853Z","",11,0.804,"","","","  ","","2025-06-23T04:36:38.853853Z"
1045,"1","2025-06-23T04:36:40.709887Z","",11,1.583,"","","","ordered chicken tikka kabab ","","2025-06-23T04:36:40.709887Z"
1046,"1","2025-06-23T04:36:44.771153Z","",11,3.792,"","","Negative","you can t even chew the chickn pieces  it was so hard   tasteless ","","2025-06-23T04:36:44.771153Z"
1047,"1","2025-06-23T04:36:45.756599Z","",11,0.713,"","","","  ","","2025-06-23T04:36:45.756599Z"
1048,"1","2025-06-23T04:36:49.333479Z","",11,3.308,"","","Negative","ordered a mocktail for my wife  it was full of water instead ","","2025-06-23T04:36:49.333479Z"
1049,"1","2025-06-23T04:36:50.306990Z","",11,0.693,"","",""," ","","2025-06-23T04:36:50.306990Z"
1050,"1","2025-06-23T04:36:55.147799Z","",12,4.569,"Negative","","","the worst experience ever ","","2025-06-23T04:36:55.147799Z"
1051,"1","2025-06-23T04:37:10.374936Z","",12,14.951,"","","Negative","ordered achari ghoshti it came with more salt later asked him he repaired the remaining curry after half an hour ","Negative","2025-06-23T04:37:10.374936Z"
1052,"1","2025-06-23T04:37:20.018222Z","",12,9.358,"","","","also the service was too slow and pathetic ","Negative","2025-06-23T04:37:20.018222Z"
1053,"1","2025-06-23T04:37:48.799566Z","",13,28.495,"","","","very bad place to hang on  the staff is very arrogant and short tempered ","Negative","2025-06-23T04:37:48.799566Z"
1054,"1","2025-06-23T04:38:08.315656Z","",13,19.22,"","Negative","","they don t allow entry to stags on the dance floor also and despite of so high prices haven t given any discount even not corporate discount too ","Negative","2025-06-23T04:38:08.315656Z"
1055,"1","2025-06-23T04:38:10.569606Z","",14,1.917,"","","","bekar","","2025-06-23T04:38:10.569606Z"
1056,"1","2025-06-23T04:38:18.259165Z","",15,7.408,"","","Negative","food was terrible","","2025-06-23T04:38:18.259165Z"
1057,"1","2025-06-23T04:39:35.829612Z","",16,77.237,"","","Negative","i ordered   donuts online and all of them were hard and not fresh ","","2025-06-23T04:39:35.829612Z"
1058,"1","2025-06-23T04:39:38.555031Z","",16,2.438,"","","Negative","and not edible to eat at all ","","2025-06-23T04:39:38.555031Z"
1059,"1","2025-06-23T04:39:43.441248Z","",16,4.606,"","","Negative","i have no option but to throw them in the dust bin ","","2025-06-23T04:39:43.441248Z"
1060,"1","2025-06-23T04:39:47.606569Z","",16,3.883,"Negative","","","very very disappointed ","","2025-06-23T04:39:47.606569Z"
1061,"1","2025-06-23T04:39:58.862007Z","",17,10.969,"","","Negative","went here for a team lunch party a while back and i swear to god the food was pathetic ","","2025-06-23T04:39:58.862007Z"
1062,"1","2025-06-23T04:40:15.209194Z","",17,16.051,"","","Negative","the starters they server were cold and even after calling out the waiter multiple times there wasn t a positive response ","Negative","2025-06-23T04:40:15.209194Z"
1063,"1","2025-06-23T04:41:55.914266Z","",17,100.397,"","","Negative","when we called the manager  there was a redo of the starter which was hot now but not tasty ","","2025-06-23T04:41:55.914266Z"
1064,"1","2025-06-23T04:42:27.028614Z","Positive",17,30.813,"","","","the ambience is good though ","","2025-06-23T04:42:27.028614Z"
1065,"1","2025-06-23T04:42:38.412225Z","",17,11.095,"","","Negative","if only the food and service were upped then the place could deserve better rating ","Negative","2025-06-23T04:42:38.412225Z"
1066,"1","2025-06-23T04:42:42.104904Z","",17,3.414,"","","","all we ate that day was curd rice   the entire team ","","2025-06-23T04:42:42.104904Z"
1067,"1","2025-06-23T04:43:27.357721Z","",17,14.136,"","","","i wish you guys could improve and we would try here again ","","2025-06-23T04:43:27.357721Z"
1068,"1","2025-06-23T04:44:07.028428Z","",18,13.646,"","","","i am from mumbai  i ordered it from my hotel in hitech city  from swiggy ","","2025-06-23T04:44:07.028428Z"
1069,"1","2025-06-23T04:44:17.833226Z","",18,10.474,"","","Negative","i ordered chicken pot rice  pot rice is usually wet n not dry  this one was actually dry and it wasn t made with the wet gravy how pot rice is actually made  and they made chinesee like biryani  seriously ","","2025-06-23T04:44:17.833226Z"
1070,"1","2025-06-23T04:44:33.283488Z","",18,36.132,"","","","garam masala in the pot rice was a big turn off ","","2025-06-23T04:45:17.808535Z"
1071,"1","2025-06-23T04:45:28.179666Z","",18,3.7,"","","","it was actually hydrabadi pot rice lol ","Negative","2025-06-23T04:45:28.179666Z"
1072,"1","2025-06-23T04:46:27.722477Z","",19,59.251,"","","","i have had high regards for khansaab over years  eversince they ve started in gvkone ","","2025-06-23T04:46:27.722477Z"
1073,"1","2025-06-23T04:47:06.869440Z","",19,38.86,"","","","today i was disappointed with their service and how they ve handled an issue  reg soup  reported ","Negative","2025-06-23T04:47:06.869440Z"
1074,"1","2025-06-23T04:47:11.208190Z","",19,4.054,"","","","even the manager at gachibowli proved useless   i never thought i will write such a review for khan saab ","Negative","2025-06-23T04:47:11.208190Z"
1075,"1","2025-06-23T04:47:13.526753Z","",20,2.032,"","","","pathetic and rude staff ","Negative","2025-06-23T04:47:13.526753Z"
1076,"1","2025-06-23T04:47:16.345818Z","",20,2.535,"","","","slowest service ","Negative","2025-06-23T04:47:16.345818Z"
1077,"1","2025-06-23T04:47:21.105469Z","",20,4.481,"","","","they had tables free at terrace and at lower floor but still they say that its full ","Negative","2025-06-23T04:47:21.105469Z"
1078,"1","2025-06-23T04:47:29.932392Z","",20,8.549,"","","","so that there upper floor gets full first which is not good ","Negative","2025-06-23T04:47:29.932392Z"
1079,"1","2025-06-23T04:47:39.864213Z","",20,9.64,"Negative","","","will never visit again ","","2025-06-23T04:47:39.864213Z"
1080,"1","2025-06-23T04:47:44.435117Z","",21,4.034,"","","","worst service ","Negative","2025-06-23T04:47:44.435117Z"
1081,"1","2025-06-23T04:47:51.719955Z","",21,6.945,"Negative","","","strictly nor recommended for family and decent people ","","2025-06-23T04:47:51.719955Z"
1082,"1","2025-06-23T04:47:57.093997Z","",21,5.087,"","","Negative","taste is below average ","","2025-06-23T04:47:57.093997Z"
1083,"1","2025-06-23T04:48:00.651373Z","",21,3.274,"Negative","","","big no for this place   stay away ","","2025-06-23T04:48:00.651373Z"
1084,"1","2025-06-23T04:48:03.045915Z","",21,2.106,"","","","worst service ever","Negative","2025-06-23T04:48:03.045915Z"
1085,"1","2025-06-23T04:48:05.546189Z","",22,2.215,"Negative","","","what a hopeless restaurant ","","2025-06-23T04:48:05.546189Z"
1086,"1","2025-06-23T04:48:15.782113Z","",22,9.947,"","","","never experienced such horrific and unprofessional restaurant ","Negative","2025-06-23T04:48:15.782113Z"
1087,"1","2025-06-23T04:48:44.364006Z","",22,28.283,"","","","if you order a dish  be assured you will get cheaper   stale and some other item ","Negative","2025-06-23T04:48:44.364006Z"
1088,"1","2025-06-23T04:49:15.461575Z","",22,30.8,"","","Negative","i have ordered chicken manchurian and egg noodle box  i received old stake gobi munchurian with just minimum two three spoon of pathetic noodle ","Negative","2025-06-23T04:49:15.461575Z"
1089,"1","2025-06-23T04:49:18.178886Z","",22,2.4,"Negative","","","please dont dare do visit there","","2025-06-23T04:49:18.178886Z"
1090,"1","2025-06-23T04:49:33.186811Z","",23,14.717,"","","Neutral","very spicy food ","","2025-06-23T04:49:33.186811Z"
1091,"1","2025-06-23T04:49:38.335789Z","",23,4.854,"","","Neutral","even the soup was ultra spicy ","","2025-06-23T04:49:38.335789Z"
1092,"1","2025-06-23T04:49:51.915728Z","",23,13.293,"","","Neutral","starters were average ","","2025-06-23T04:49:51.915728Z"
1093,"1","2025-06-23T04:49:59.973748Z","",23,7.748,"","","Negative","main course could have more variety and some taste ","","2025-06-23T04:49:59.973748Z"
1094,"1","2025-06-23T04:50:03.544643Z","",23,3.277,"","","Negative","even the desserts were not good ","","2025-06-23T04:50:03.544643Z"
1095,"1","2025-06-23T04:50:05.509258Z","",24,1.679,"","","Negative","worst food ever     ","","2025-06-23T04:50:05.509258Z"
1096,"1","2025-06-23T04:50:45.429010Z","",24,39.627,"","","Negative","very bad taste  i will give negative rating   no dishes were properly made very bad experience ","","2025-06-23T04:50:45.429010Z"
1097,"1","2025-06-23T04:50:50.872117Z","",24,5.154,"","","Negative","just name is big but no quality and taste maintained","","2025-06-23T04:50:50.872117Z"
1098,"1","2025-06-23T04:50:59.314821Z","",25,8.15,"","","Negative","very very bad sooo waste taste less dont take order online very very bad sooo waste taste less dont take order online ","","2025-06-23T04:50:59.314821Z"
1099,"1","2025-06-23T04:51:02.865673Z","",25,3.254,"","","Negative","very very bad sooo waste taste less dont take order online","","2025-06-23T04:51:02.865673Z"
1100,"1","2025-06-23T04:51:16.383728Z","",26,13.233,"","","Negative","horrible place nothing for vegetarians service is awful paneer was not properly cooked corn cubes were hopeless we had to wait for an hour to get vegetarian starters the main course for vegetarian dishes was empty","Negative","2025-06-23T04:51:16.383728Z"
1101,"1","2025-06-23T04:51:23.162370Z","",27,6.454,"Negative","","","if you are looking for north indian food in hyderabad then do not visit this place ","","2025-06-23T04:51:23.162370Z"
1102,"1","2025-06-23T04:51:33.815357Z","",27,10.363,"","","","the waiters will not listen if food is late  manager is totally uncivilized  tries to peek into customers wallet and also talks rudely  ","Negative","2025-06-23T04:51:33.815357Z"
1103,"1","2025-06-23T04:51:49.826801Z","",27,15.706,"","","Negative","we ordered       daal makhani  not even average      paneer  serverd with hair in it      biriyani  below average      tandoori roti     sweet lassi  after finishing the food  they will serve you finger bowl with food particles already present in it    ","","2025-06-23T04:51:49.826801Z"
1104,"1","2025-06-23T04:52:17.281196Z","Negative",27,27.117,"","","Negative","food        staff        ambience        hygiene        i will never recommend this place to anyone ","Negative","2025-06-23T04:52:17.281196Z"
1105,"1","2025-06-23T04:52:21.057904Z","",27,3.434,"","","","theglobetrotterlady com","","2025-06-23T04:52:21.057904Z"
1106,"1","2025-06-23T04:52:44.062058Z","",28,22.685,"","","","today i have ordered cashew polau from zomato  i have received the parcel box unpacked and seems some part of food item from one side has taken out of box ","Negative","2025-06-23T04:52:44.062058Z"
1107,"1","2025-06-23T04:53:03.378480Z","",28,18.984,"Negative","","","i have reported to zomato as well  but from next time onwards i will make sure not to order from this restaurent ","","2025-06-23T04:53:03.378480Z"
1108,"1","2025-06-23T04:54:15.498972Z","",29,71.777,"","","","we ordered food for home delivery with one line instruction   garlic bread to be prepared without spices  which was not fulfilled ","Negative","2025-06-23T04:54:15.498972Z"
1109,"1","2025-06-23T04:54:24.746669Z","",29,8.921,"","","","this was ok  what wasn t was delivery of chicken ","Negative","2025-06-23T04:54:24.746669Z"
1110,"1","2025-06-23T04:54:29.562280Z","",29,4.504,"","","","we ordered vegetarian cheese balls and we received chicken ","Negative","2025-06-23T04:54:29.562280Z"
1111,"1","2025-06-23T04:54:32.278789Z","",29,2.391,"","","","can we ever trust you again  frio bistro ","","2025-06-23T04:54:32.278789Z"
1112,"1","2025-06-23T04:54:59.827995Z","",30,27.232,"","","Negative","i ve ordered their keema pav on swiggy and i was very dissatisfied with it ","","2025-06-23T04:54:59.827995Z"
1113,"1","2025-06-23T04:55:27.462279Z","",30,27.297,"","","Negative","the keema was stale and blubbery ","","2025-06-23T04:55:27.462279Z"
1114,"1","2025-06-23T04:55:59.587817Z","",30,31.756,"","","Negative","their is lot of fat and meat was very minimal ","","2025-06-23T04:55:59.587817Z"
1115,"1","2025-06-23T04:56:12.632201Z","",30,17.586,"","","Negative","i couldn t finish even half of the portion served ","","2025-06-23T04:56:24.027832Z"
1116,"1","2025-06-23T04:56:32.285572Z","",30,5.726,"","","Negative","and it was very clear that the dish mutton is not fresh ","","2025-06-23T04:56:32.285572Z"
1117,"1","2025-06-23T04:56:41.532254Z","",30,8.914,"","","","please check with them if you really wanna try this dish ","","2025-06-23T04:56:41.532254Z"
1118,"1","2025-06-23T04:56:47.361227Z","",30,5.506,"","","Negative","ps  it had a bad effect on my tummy as well ","","2025-06-23T04:56:47.361227Z"
1119,"1","2025-06-23T04:58:06.676151Z","",31,79.002,"Negative","","Positive","too bad but tasty","","2025-06-23T04:58:06.676151Z"
1120,"1","2025-06-23T04:58:10.315310Z","",32,3.242,"","","","ordered kadhi pakoda rice combo  nov       ","","2025-06-23T04:58:10.315310Z"
1121,"1","2025-06-23T04:58:14.692347Z","",32,4.08,"","","Negative","it was extremely bad ","","2025-06-23T04:58:14.692347Z"
1122,"1","2025-06-23T04:59:25.758389Z","",32,70.373,"","","Negative","the rice seemed to be cooked with a lot of baking soda ","","2025-06-23T04:59:25.758389Z"
1123,"1","2025-06-23T04:59:29.314262Z","",32,3.167,"","","Negative","kadhi was awful to taste ","","2025-06-23T04:59:29.314262Z"
1124,"1","2025-06-23T04:59:31.982163Z","",32,2.329,"","","Negative","avoid this dish ","","2025-06-23T04:59:31.982163Z"
1125,"1","2025-06-23T04:59:35.498188Z","",33,3.195,"Negative","","","pathetic ","","2025-06-23T04:59:35.498188Z"
1126,"1","2025-06-23T04:59:38.378025Z","",33,2.554,"Negative","","","don t order through them ","","2025-06-23T04:59:38.378025Z"
1127,"1","2025-06-23T04:59:50.206555Z","",33,11.517,"","","","neither do they have the decency of answering calls and informing nor do they have people to deliver ","Negative","2025-06-23T04:59:50.206555Z"
1128,"1","2025-06-23T04:59:52.466955Z","",33,1.928,"Negative","","","disappointing ","","2025-06-23T04:59:52.467952Z"
1129,"1","2025-06-23T05:01:00.031319Z","",34,67.215,"","Negative","Negative","worst experience in parcel of zaffron motton regular biryani no mutton piecec found i  biryani bill is       with gst    ","","2025-06-23T05:01:00.031319Z"
1130,"1","2025-06-23T05:01:16.925788Z","",34,21.441000000000003,"","","Negative","fooling public in parcel   dont take pacel frm pista house    ","","2025-06-23T05:01:42.726182Z"
1131,"1","2025-06-23T05:01:49.368985Z","",34,25.192,"","","Negative","very bad experience simply looting public money on parcels of biryani      ","","2025-06-23T05:01:49.368985Z"
1132,"1","2025-06-23T05:02:00.267486Z","",35,10.557,"Negative","","","having heard a lot about this place  specially their triveni biryani  i came here once and ordered food     times   the last time i purchased food here would actually be the last time i would eat from here ","","2025-06-23T05:02:00.267486Z"
1133,"1","2025-06-23T05:02:31.771921Z","",35,31.16,"Negative","","","this restaurant is a classic example of how it started on a grand note and ended up being just another restaurant with hygiene issues ","","2025-06-23T05:02:31.771921Z"
1134,"1","2025-06-23T05:03:03.472935Z","",35,31.386,"","","","to cut the long chase short  i had purchased   items ","","2025-06-23T05:03:03.472935Z"
1135,"1","2025-06-23T05:04:45.075055Z","",35,101.225,"","","Neutral","  paneer tikka biryani and bhimwaram pulav  take aways   in spite of telling them  both items were very spicy ","Negative","2025-06-23T05:04:45.075055Z"
1136,"1","2025-06-23T05:04:50.785458Z","",35,5.356,"","","Negative","my wife and i were struggling with the food ","","2025-06-23T05:04:50.785458Z"
1137,"1","2025-06-23T05:04:59.663059Z","",35,8.531,"","","Negative","now to top it  i found a flying insect  not a cockroach but something else with wings  that got cooked with the paneer tikka biryani ","","2025-06-23T05:04:59.663059Z"
1138,"1","2025-06-23T05:05:10.058823Z","",35,10.052,"","","Negative","alas  that was so repulsive that i left the food mid way and satiated my hunger with curd rice  i m never going back to them","","2025-06-23T05:05:10.058823Z"
1139,"1","2025-06-23T05:09:32.293386Z","",36,261.898,"","","Negative","didn t find any taste in chicken momos  the veg momos were horrible   stuff inside the momos were not boiled properly   will never order from them again","","2025-06-23T05:09:32.293386Z"
1140,"1","2025-06-23T05:10:55.320224Z","Negative",37,82.603,"","Negative","","one of the best worst place   biryani is too worst   but their strtegy is too good   they dont have ac but if we sit and eat the price is double  irresponsible serice   better to go to almas r biryanis   good bye  will never visit again","","2025-06-23T05:10:55.320224Z"
1141,"1","2025-06-23T05:10:58.405105Z","",38,2.664,"","","Negative","i got very sick after having this food","","2025-06-23T05:10:58.405105Z"
1142,"1","2025-06-23T05:11:02.057653Z","",39,3.332,"","","Negative","i am very very biryani lover and i tried the behrouz biryani and it was worst ","","2025-06-23T05:11:02.057653Z"
1143,"1","2025-06-23T05:11:03.599532Z","",39,1.187,"","","Negative","taste is too bad   ","","2025-06-23T05:11:03.599532Z"
1144,"1","2025-06-23T05:11:08.788957Z","",39,10.365,"","","Negative","packing is too good but taste is too bad","Positive","2025-06-23T05:11:16.548774Z"
1145,"1","2025-06-23T05:11:28.085884Z","",40,9.282,"","","Negative","no taste in food  starters were served cold  probably it was already cooked so waiter suggested us that dish ","","2025-06-23T05:11:28.085884Z"
1146,"1","2025-06-23T05:11:35.532244Z","",40,7.131,"","Negative","","it is expensive and not worth at all ","","2025-06-23T05:11:35.532244Z"
1147,"1","2025-06-23T05:12:34.872269Z","",40,59.002,"","","Negative","they are trying to be over authentic and spoiling the basic taste of food ","","2025-06-23T05:12:34.872269Z"
1148,"1","2025-06-23T05:12:40.395897Z","",40,5.204,"","","Negative","rotis are very hard and ulavacharu biryani is too much masala and no tasty ","","2025-06-23T05:12:40.395897Z"
1149,"1","2025-06-23T05:12:42.481477Z","",40,1.766,"Negative","","","not suggested to visit ","","2025-06-23T05:12:42.481477Z"
1150,"1","2025-06-23T05:12:54.771189Z","",41,11.97,"","","","after all confirmation and payment  this restaurant has canceled my order while i had no other option to get food ","Negative","2025-06-23T05:12:54.771189Z"
1151,"1","2025-06-23T05:12:57.009158Z","",41,1.902,"Negative","","","i m unsatisfied with this restaurant ","","2025-06-23T05:12:57.009158Z"
1152,"1","2025-06-23T05:13:19.280513Z","",42,21.959,"","","Negative","biryani tastes stale highly unethical service ","Negative","2025-06-23T05:13:19.280513Z"
1153,"1","2025-06-23T05:13:26.193766Z","",42,6.474,"","","","they will charge you   rs for a   rs coke     ml  ","Negative","2025-06-23T05:13:26.193766Z"
1154,"1","2025-06-23T05:13:29.602126Z","",42,5.848,"","","","never ever go or order anything from these cheaters ","Negative","2025-06-23T05:13:37.212756Z"
1155,"1","2025-06-23T05:13:47.381242Z","",42,8.743,"","","","and even after calling the restaurant multiple times they won t pick up the call rather they will disconnect it ","Negative","2025-06-23T05:13:47.381242Z"
1156,"1","2025-06-23T05:13:49.885362Z","",43,2.192,"","","","horrible  i ordered   special and   regular shawarma ","","2025-06-23T05:13:49.885362Z"
1157,"1","2025-06-23T05:13:56.682080Z","",43,6.491,"","","","we got   regular shawarma ","Negative","2025-06-23T05:13:56.682080Z"
1158,"1","2025-06-23T05:13:59.499475Z","",43,2.503,"Negative","","","pathetic experience ","","2025-06-23T05:13:59.499475Z"
1159,"1","2025-06-23T05:14:14.261959Z","",43,14.446,"","","","i m satisfied with the person who delivered  please let him have the credit for the delivery","Positive","2025-06-23T05:14:14.261959Z"
1160,"1","2025-06-23T05:14:17.450322Z","",44,2.841,"","","","went there   around      pm  was really hungry ","","2025-06-23T05:14:17.450322Z"
1161,"1","2025-06-23T05:14:19.433486Z","",44,1.677,"","","","had heard a lot about this place ","","2025-06-23T05:14:19.433486Z"
1162,"1","2025-06-23T05:14:24.559355Z","",44,4.82,"","","Negative","food was not good at all  roti s  tandoori  could easily be confused with papad  both were so thin and cold ","","2025-06-23T05:14:24.559355Z"
1163,"1","2025-06-23T05:14:28.264027Z","",44,3.389,"","","Negative","sabzi was cold and seems like they didn t care about customer ","","2025-06-23T05:14:28.264027Z"
1164,"1","2025-06-23T05:14:35.289930Z","",44,6.676,"","","","even at that time when we were the only table operating there was so much delay for someone to attend our table ","Negative","2025-06-23T05:14:35.289930Z"
1165,"1","2025-06-23T05:14:38.620292Z","",44,3.015,"Negative","","","not visiting this place ever again ","","2025-06-23T05:14:38.620292Z"
1166,"1","2025-06-23T05:14:43.105358Z","",45,4.168,"","",""," delivery  poor customer support ","Negative","2025-06-23T05:14:43.105358Z"
1167,"1","2025-06-23T05:15:04.775634Z","",45,21.329,"","","","both me and zomato were unable to contact restaurant ","Negative","2025-06-23T05:15:04.775634Z"
1168,"1","2025-06-23T05:15:11.907057Z","",45,6.814,"","","","restaurant didn t update status in app as well ","Negative","2025-06-23T05:15:11.907057Z"
1169,"1","2025-06-23T05:15:15.657607Z","",45,3.394,"","","","after   hours a guy called me that he is out to deliver the food ","","2025-06-23T05:15:15.657607Z"
1170,"1","2025-06-23T05:15:20.291368Z","",45,4.33,"","","","which is hours after i requested zomato customer care and cancelled my order ","Negative","2025-06-23T05:15:20.291368Z"
1171,"1","2025-06-23T05:15:25.656343Z","",45,5.035,"","","","and it happened second time ","Negative","2025-06-23T05:15:25.656343Z"
1172,"1","2025-06-23T05:15:34.432231Z","",45,8.458,"","","","earlier they answered but said it will take one and half hour i waited and not delivered ","Negative","2025-06-23T05:15:34.432231Z"
1173,"1","2025-06-23T05:15:39.829756Z","",45,5.059,"Negative","","","this is my second bad experience   ","","2025-06-23T05:15:39.829756Z"
1174,"1","2025-06-23T05:15:41.541378Z","",45,1.394,"Negative","","","very sad about it ","","2025-06-23T05:15:41.541378Z"
1175,"1","2025-06-23T05:15:46.588973Z","",46,4.722,"","","Negative","very bad and untasty food ","","2025-06-23T05:15:46.588973Z"
1176,"1","2025-06-23T05:15:50.333470Z","",46,3.417,"","","Negative","i doubt if it was even fresh ","","2025-06-23T05:15:50.333470Z"
1177,"1","2025-06-23T05:15:53.056162Z","",46,2.396,"","","Negative","the chicken looked so unhygienic and old ","","2025-06-23T05:15:53.056162Z"
1178,"1","2025-06-23T05:15:59.132292Z","",46,5.746,"Negative","","","i wouldn t recommend this place to anyone ","","2025-06-23T05:15:59.132292Z"
1179,"1","2025-06-23T05:16:01.561981Z","",47,2.098,"","","Negative","very bad quality of food ","","2025-06-23T05:16:01.561981Z"
1180,"1","2025-06-23T05:16:05.833314Z","",47,3.963,"","","Negative","the nans and rotis were like papad and the curry was also not good ","","2025-06-23T05:16:05.833314Z"
1181,"1","2025-06-23T05:16:11.078587Z","",48,4.876,"Negative","","","sadly our visit to hyatt wasn t the type one would want to remember ","","2025-06-23T05:16:11.078587Z"
1182,"1","2025-06-23T05:16:20.550609Z","",48,9.152,"","","","we were attempting to use zomato gold   out of the   of us    had gold and to start with they told us we would need to physically sit on different tables to use both gold memberships ","Negative","2025-06-23T05:16:20.550609Z"
1183,"1","2025-06-23T05:16:27.921187Z","",48,7.053,"","","","note   it was      at night and the whole restaurant was completely empty ","","2025-06-23T05:16:27.921187Z"
