,sentence,aspect,sentiment
50,when we called the manager  there was a redo of the starter which was hot now but not tasty ,quality,Negative
51,the ambience is good though ,environment,Positive
52,if only the food and service were upped then the place could deserve better rating ,quality,Negative
53,if only the food and service were upped then the place could deserve better rating ,service,Negative
54,i ordered chicken pot rice  pot rice is usually wet n not dry  this one was actually dry and it wasn t made with the wet gravy how pot rice is actually made  and they made chinesee like biryani  seriously ,quality,Negative
55,it was actually hydrabadi pot rice lol ,service,Negative
56,today i was disappointed with their service and how they ve handled an issue  reg soup  reported ,service,Negative
57,even the manager at gachibowli proved useless   i never thought i will write such a review for khan saab ,service,Negative
58,pathetic and rude staff ,service,Negative
59,slowest service ,service,Negative
60,they had tables free at terrace and at lower floor but still they say that its full ,service,Negative
61,so that there upper floor gets full first which is not good ,service,Negative
62,will never visit again ,other,Negative
63,worst service ,service,Negative
64,strictly nor recommended for family and decent people ,other,Negative
65,taste is below average ,quality,Negative
66,big no for this place   stay away ,other,Negative
67,worst service ever,service,Negative
68,what a hopeless restaurant ,other,Negative
69,never experienced such horrific and unprofessional restaurant ,service,Negative
70,if you order a dish  be assured you will get cheaper   stale and some other item ,service,Negative
71,i have ordered chicken manchurian and egg noodle box  i received old stake gobi munchurian with just minimum two three spoon of pathetic noodle ,quality,Negative
72,i have ordered chicken manchurian and egg noodle box  i received old stake gobi munchurian with just minimum two three spoon of pathetic noodle ,service,Negative
73,please dont dare do visit there,other,Negative
74,very spicy food ,quality,Neutral
75,even the soup was ultra spicy ,quality,Neutral
76,starters were average ,quality,Neutral
77,main course could have more variety and some taste ,quality,Negative
78,even the desserts were not good ,quality,Negative
79,worst food ever     ,quality,Negative
80,very bad taste  i will give negative rating   no dishes were properly made very bad experience ,quality,Negative
81,just name is big but no quality and taste maintained,quality,Negative
82,very very bad sooo waste taste less dont take order online very very bad sooo waste taste less dont take order online ,quality,Negative
83,very very bad sooo waste taste less dont take order online,quality,Negative
84,horrible place nothing for vegetarians service is awful paneer was not properly cooked corn cubes were hopeless we had to wait for an hour to get vegetarian starters the main course for vegetarian dishes was empty,quality,Negative
85,horrible place nothing for vegetarians service is awful paneer was not properly cooked corn cubes were hopeless we had to wait for an hour to get vegetarian starters the main course for vegetarian dishes was empty,service,Negative
86,if you are looking for north indian food in hyderabad then do not visit this place ,other,Negative
87,the waiters will not listen if food is late  manager is totally uncivilized  tries to peek into customers wallet and also talks rudely  ,service,Negative
88,we ordered    1  daal makhani  not even average   2  paneer  serverd with hair in it   3  biriyani  below average   4  tandoori roti  5  sweet lassi  after finishing the food  they will serve you finger bowl with food particles already present in it    ,quality,Negative
89,food   0 5  staff   0 5  ambience   1 5  hygiene   0 5  i will never recommend this place to anyone ,quality,Negative
90,food   0 5  staff   0 5  ambience   1 5  hygiene   0 5  i will never recommend this place to anyone ,environment,Negative
91,food   0 5  staff   0 5  ambience   1 5  hygiene   0 5  i will never recommend this place to anyone ,service,Negative
92,today i have ordered cashew polau from zomato  i have received the parcel box unpacked and seems some part of food item from one side has taken out of box ,service,Negative
93,i have reported to zomato as well  but from next time onwards i will make sure not to order from this restaurent ,other,Negative
94,we ordered food for home delivery with one line instruction   garlic bread to be prepared without spices  which was not fulfilled ,service,Negative
95,this was ok  what wasn t was delivery of chicken ,service,Negative
96,we ordered vegetarian cheese balls and we received chicken ,service,Negative
97,i ve ordered their keema pav on swiggy and i was very dissatisfied with it ,quality,Negative
98,the keema was stale and blubbery ,quality,Negative
99,their is lot of fat and meat was very minimal ,quality,Negative
100,i couldn t finish even half of the portion served ,quality,Negative
101,and it was very clear that the dish mutton is not fresh ,quality,Negative
102,ps  it had a bad effect on my tummy as well ,quality,Negative
103,too bad but tasty,quality,Positive
104,too bad but tasty,other,Negative
105,it was extremely bad ,quality,Negative
106,the rice seemed to be cooked with a lot of baking soda ,quality,Negative
107,kadhi was awful to taste ,quality,Negative
108,avoid this dish ,quality,Negative
109,pathetic ,other,Negative
110,don t order through them ,other,Negative
111,neither do they have the decency of answering calls and informing nor do they have people to deliver ,service,Negative
112,disappointing ,other,Negative
113,worst experience in parcel of zaffron motton regular biryani no mutton piecec found i  biryani bill is 158   with gst    ,price,Negative
114,worst experience in parcel of zaffron motton regular biryani no mutton piecec found i  biryani bill is 158   with gst    ,quality,Negative
115,fooling public in parcel   dont take pacel frm pista house    ,quality,Negative
116,very bad experience simply looting public money on parcels of biryani      ,quality,Negative
117,having heard a lot about this place  specially their triveni biryani  i came here once and ordered food 3 4 times   the last time i purchased food here would actually be the last time i would eat from here ,other,Negative
118,this restaurant is a classic example of how it started on a grand note and ended up being just another restaurant with hygiene issues ,other,Negative
119,1 paneer tikka biryani and bhimwaram pulav  take aways   in spite of telling them  both items were very spicy ,quality,Neutral
120,1 paneer tikka biryani and bhimwaram pulav  take aways   in spite of telling them  both items were very spicy ,service,Negative
121,my wife and i were struggling with the food ,quality,Negative
122,now to top it  i found a flying insect  not a cockroach but something else with wings  that got cooked with the paneer tikka biryani ,quality,Negative
123,alas  that was so repulsive that i left the food mid way and satiated my hunger with curd rice  i m never going back to them,quality,Negative
124,didn t find any taste in chicken momos  the veg momos were horrible   stuff inside the momos were not boiled properly   will never order from them again,quality,Negative
125,one of the best worst place   biryani is too worst   but their strtegy is too good   they dont have ac but if we sit and eat the price is double  irresponsible serice   better to go to almas r biryanis   good bye  will never visit again,price,Negative
126,one of the best worst place   biryani is too worst   but their strtegy is too good   they dont have ac but if we sit and eat the price is double  irresponsible serice   better to go to almas r biryanis   good bye  will never visit again,environment,Negative
127,i got very sick after having this food,quality,Negative
128,i am very very biryani lover and i tried the behrouz biryani and it was worst ,quality,Negative
129,taste is too bad   ,quality,Negative
130,packing is too good but taste is too bad,quality,Negative
131,packing is too good but taste is too bad,service,Positive
132,no taste in food  starters were served cold  probably it was already cooked so waiter suggested us that dish ,quality,Negative
133,it is expensive and not worth at all ,price,Negative
134,they are trying to be over authentic and spoiling the basic taste of food ,quality,Negative
135,rotis are very hard and ulavacharu biryani is too much masala and no tasty ,quality,Negative
136,not suggested to visit ,other,Negative
137,after all confirmation and payment  this restaurant has canceled my order while i had no other option to get food ,service,Negative
138,i m unsatisfied with this restaurant ,other,Negative
139,biryani tastes stale highly unethical service ,quality,Negative
140,biryani tastes stale highly unethical service ,service,Negative
141,they will charge you 40rs for a 20rs coke 250 ml  ,service,Negative
142,never ever go or order anything from these cheaters ,service,Negative
143,and even after calling the restaurant multiple times they won t pick up the call rather they will disconnect it ,service,Negative
144,we got 3 regular shawarma ,service,Negative
145,pathetic experience ,other,Negative
146,i m satisfied with the person who delivered  please let him have the credit for the delivery,service,Positive
147,food was not good at all  roti s  tandoori  could easily be confused with papad  both were so thin and cold ,quality,Negative
148,sabzi was cold and seems like they didn t care about customer ,quality,Negative
149,even at that time when we were the only table operating there was so much delay for someone to attend our table ,service,Negative
150,not visiting this place ever again ,other,Negative
151, delivery  poor customer support ,service,Negative
152,both me and zomato were unable to contact restaurant ,service,Negative
153,restaurant didn t update status in app as well ,service,Negative
154,which is hours after i requested zomato customer care and cancelled my order ,service,Negative
155,and it happened second time ,service,Negative
156,earlier they answered but said it will take one and half hour i waited and not delivered ,service,Negative
157,this is my second bad experience   ,other,Negative
158,very sad about it ,other,Negative
159,very bad and untasty food ,quality,Negative
160,i doubt if it was even fresh ,quality,Negative
161,the chicken looked so unhygienic and old ,quality,Negative
162,i wouldn t recommend this place to anyone ,other,Negative
163,very bad quality of food ,quality,Negative
164,the nans and rotis were like papad and the curry was also not good ,quality,Negative
165,sadly our visit to hyatt wasn t the type one would want to remember ,other,Negative
166,we were attempting to use zomato gold   out of the 4 of us  2 had gold and to start with they told us we would need to physically sit on different tables to use both gold memberships ,service,Negative
167,we suggested let s do two bills and create the notion of 2 tables if needed  why though i don t know  zomato clearly says there is no limit of how many gold s can be used at a table  but even that was not agreeable  they just kept repeating we would need to physically move to two separate tables  ,service,Negative
168,needless to say  the visit just went down hill from there     not recommended,other,Negative
169,the food packing is very good  but the food taste is very worse  i m very disappointed,quality,Negative
170,the food packing is very good  but the food taste is very worse  i m very disappointed,service,Positive
171,ordered and paid  waited for 25 minutes and realise that order has not been placed ,service,Negative
172,the place had more people serving than the people eating and yet this happened and everyone was blaming everyone else ,service,Negative
173,there were flies all over the place ,environment,Negative
174,poor show ,other,Negative
175,had to skip lunch because of their error,service,Negative
176,the place is not soo good ,environment,Negative
177,staff is very arogant and doesnt care abt custor service ,service,Negative
178,initially they served drinks in plastic glasses and doesnt even have normal glasses to serve drinks ,service,Negative
179,manager is using abusive language when requested for normal glasses  ,service,Negative
180,food was spicy and tasted fine ,quality,Positive
181,however  the best worst part follows    all of us had to take a sick leave today as we cannot stop going to the washroom ,quality,Negative
182,we don t expect this from a restaurant of your stature ,other,Negative
183,well the order firstly came way beyond it s time and didn t came what was ordered originally ,service,Negative
184,order was late so called the restaurant ,service,Negative
185,they started yelling the moment he picked the call saying    we are not responsible ,service,Negative
186,and was extremely rude    ,service,Negative
187,clearly they have no regard for customer and hence very well explains why the food is cheap,quality,Negative
188,clearly they have no regard for customer and hence very well explains why the food is cheap,service,Negative
189,not good,other,Negative
190,shitty place    shitty service    shitty management    not again    not always brand will work  ,environment,Negative
191,shitty place    shitty service    shitty management    not again    not always brand will work  ,service,Negative
192,think twice before u check in   wrost place in recent times ,other,Negative
193,2vegs instead of 2veg 2 nonveg,quality,Negative
194,damn too much oil  i can make another curry out of it  that much,quality,Negative
195,very bad management ,service,Negative
196,they are a cheat ,service,Negative
197,firstly they denied me the 20  flat discount coupon which i had taken from dine out ,service,Negative
198,over charged our liquor ,price,Negative
199,totally overrated just avoid this place unless you wanna loose your money for a cheap quality food there s only one guy who does all the service and you have to wait long for your turn to come up and the place looks like some forbidden house,quality,Negative
200,totally overrated just avoid this place unless you wanna loose your money for a cheap quality food there s only one guy who does all the service and you have to wait long for your turn to come up and the place looks like some forbidden house,environment,Negative
201,totally overrated just avoid this place unless you wanna loose your money for a cheap quality food there s only one guy who does all the service and you have to wait long for your turn to come up and the place looks like some forbidden house,service,Negative
202,vegetables are not cooked properly waste of money,quality,Negative
203,the worst ever pancakes ,quality,Negative
204,it s a total waste of money ,other,Negative
205,and they delivered something way different than what was mentioned in the menu ,service,Negative
206,staff is very reckless and they are least bother about the customer ,service,Negative
207,we left without having lunch for keeping wait for more then 30 mins and the manager even not ask us to wait ,service,Negative
208,worst food ever i had in recent times ,quality,Negative
209,rotten smell in fish n chicken ,quality,Negative
210,never ever visit this place i wonder how this restaurant got those awards,other,Negative
211,booking a place here for a corporate package is absolutely horrendous ,other,Negative
212,they provided the menu and package details on friday and confirmed its available  and on monday   the day of the event   management was rude and was insisting they ll not provide the buffet but will charge the same price as per the package ,service,Negative
213,they did not have minimum courtesy and were not even respecting the fact that our manager   a lady   was trying to talk ,service,Negative
214,this is probably the worst ever team i had ever talked to ,service,Negative
215,very disappointing ,other,Negative
216,i d never recommend this place to anyone ,other,Negative
217,but yesterday it is a very bad experience we noticed the manger is changed ,other,Negative
218,it took 20 minutes to find some one to take the order ,service,Negative
219,then it took him almost 30 minutes for the thali ,service,Negative
220,i called the manager and asked why is it taking so long as we habe only asked a thali and lassi ,service,Negative
221,but is was courtesy that he could have informed us that it is going to take time ,service,Negative
222,but the lassi again took a very long time we cancelled the order and moved out ,service,Negative
223,too much attitude display by all staff ,service,Negative
224,need to be taught manners regarding how to be courteous to guests ,service,Negative
225,only ambience  food just about ok ,quality,Positive
226,only ambience  food just about ok ,environment,Positive
227,worst quality  we found spider at glass of beer and we informed to them but there was no response from their side ,quality,Negative
228,worst quality  we found spider at glass of beer and we informed to them but there was no response from their side ,service,Negative
229,it s very bad experience with this bar,other,Negative
230,worst service experienced ever ,service,Negative
231,nobody is concerned about even taking the order ,service,Negative
232,its just waste of our evening ,other,Negative
233,not as expected ,other,Negative
234,horrible food   ,quality,Negative
235,the noodles and the so called starter which basically was gobi fried to death looked and tasted like they were living in oil well all their life and had come out for once to give me the scare of my life  ,quality,Negative
236,bland horrible highly unhealthy trash never eat here worst experience  wish there was a negative starring system,quality,Negative
237,i ordered paneer tikka biryani and got some non veg biryani ,service,Negative
238,very bad services from both restaurant as well as zomato ,service,Negative
239,irresponsible restaurant  ,service,Negative
240,please don t order any food from there ,other,Negative
241,i ordered mushroom masala   not good in taste  and 3 different types of roti s and in place of roti s they people are delivering white rice ,quality,Negative
242,i ordered mushroom masala   not good in taste  and 3 different types of roti s and in place of roti s they people are delivering white rice ,service,Negative
243,moreover   when i tried calling restaurant number   they are not in use ,service,Negative
244,worst place and worst service   without any prior intimation they stopped taking orders   for a crispy corn they took 1 hour   will never recommend this place  ,service,Negative
245,worst place went soo far  don t believe in pictures  quality of food is worst  dj was very very very bad ,quality,Negative
246,disgusting place ,environment,Negative
247,seen in zomato impressed with pictures but came to a worst place,other,Negative
248,we found insect in the beer  we informed to the management but the way of their behaviour is worst ,quality,Negative
249,we found insect in the beer  we informed to the management but the way of their behaviour is worst ,service,Negative
250,this is not good and bad experience in this bar ,other,Negative
251,visited the place on a weekday but it was jam packed with people ,service,Negative
252,the music was too loud to the point that we would not able to discuss on what to order across the table ,environment,Negative
253,the service was the worst   all of my friends went to the dance floor and i was stopped by the staff who asked not to leave the table and asked me to deposit my id card ,service,Negative
254,this was pretty humiliating ,other,Negative
255,the food was average at best ,quality,Neutral
256,they entered  200 as tip on the pos machine trying us to pay that for this s   ty service ,service,Negative
257,the valet meddled with my car s infotainment system ,service,Negative
258,i will avoid this place from now on and stick to more classy places ,other,Negative
259,what a disappointment it was ,other,Negative
260,wrong food  wrong bill  no taste  time waste insects in food  food raw  when metioned this all to the manager he was reluctant to hear the feedback,quality,Negative
261,wrong food  wrong bill  no taste  time waste insects in food  food raw  when metioned this all to the manager he was reluctant to hear the feedback,service,Negative
262,no wafers sent with the burger,service,Negative
263,most terrible place ,other,Negative
264,firstly they took cover charge for a couple and they had no seats ,price,Negative
265,firstly they took cover charge for a couple and they had no seats ,service,Negative
266,could have told us we have no seats we would not have paid cover charge ,service,Negative
267,we stood for good 20 mins and then given bad seats near the speaker where one couldn t even talk ,service,Negative
268,and then the waiters weren t serving us food properly ,service,Negative
269,had to ask them twice after whicj they took order and when they did they didn t give us cutlery ,service,Negative
270,i had to ask that give forks  ,service,Negative
271,      ,other,Negative
272,i had the worst experience ever of going to a place ,other,Negative
273,also i wanted to book my table beforehand ,service,Negative
274,it just felt they didn t want things to be systematic ,other,Negative
275,not coming to this place ever again,other,Negative
276,my pizza looks like they have pieced together the left overs ,quality,Negative
277,the cheese is hard and the slices look old ,quality,Negative
278,i m so disappointed as i order quite frequently from frio and this is the second time i am getting a pizza in this condition from them ,quality,Negative
279,very poor service i went in day time and took 40 min to serve nachos ,service,Negative
280,food taste very poor ,quality,Negative
281,there staff is not entertaining ,service,Negative
282,baby corn manchurian was gone bad when it was delivered ,quality,Negative
283,pathetic food ,quality,Negative
284,omelete is having black color on it ,quality,Negative
285,breads are missing ,service,Negative
286,strawberry toast   something white is there which smells ,quality,Negative
287,pathetic food  ,quality,Negative
288,such bad experience ,other,Negative
289,delivery boy also came 1 hour late ,service,Negative
290,never gonna order from here  ,other,Negative
291,disappointment  being one of the famous restaurant chain  had lot of expectations we were made to seat on table with dirty table mats and plates   food quality is worst to the core ,quality,Negative
292,disappointment  being one of the famous restaurant chain  had lot of expectations we were made to seat on table with dirty table mats and plates   food quality is worst to the core ,service,Negative
293,ordered mutton rogan josh which had excess amount of salt  to our suprise staff was least bothered to act on it or accept feedback ,quality,Negative
294,ordered mutton rogan josh which had excess amount of salt  to our suprise staff was least bothered to act on it or accept feedback ,service,Negative
295,didn t have biryanis available hence had to sacrifice with steamed rice and dal ,service,Negative
296,would not recommend this restaurant as needs huge improvement in terms of food quality  service and hygiene standards,quality,Negative
297,would not recommend this restaurant as needs huge improvement in terms of food quality  service and hygiene standards,service,Negative
298,drinks front my friend ordered small rum since its happy hour got one plus one  i got my beer then as last order for happy hour ordered large vodka  after getting one when asked for plus one   reply is oh we assumed you asked us to make one large out of two small       ,service,Negative
299,now ok i can forgive that its misunderstanding suddenly we get the check asking to pay up while still having our drinks ,service,Negative
300,people who made this place have spent money sadly should have visited good places around world to see its not only ambiance to nonsense music but food quality and service quality which makes reputation ,quality,Negative
301,people who made this place have spent money sadly should have visited good places around world to see its not only ambiance to nonsense music but food quality and service quality which makes reputation ,environment,Negative
302,people who made this place have spent money sadly should have visited good places around world to see its not only ambiance to nonsense music but food quality and service quality which makes reputation ,service,Negative
303,good bye for ever ,other,Negative
304,worst experience ever ,other,Negative
305,we were three girls and waiters were rude as much as possible ,service,Negative
306,they even denied to accept orders and it was just our second order ,service,Negative
307,never seen such a pub run by rude and unprofessional people ,service,Negative
308,it is waste to order pizza from this restaurant ,other,Negative
309,there is no cheese in pizza and moreover the diameter of uttappam is far better than this pizza ,quality,Negative
310,i will never prefer this,other,Negative
311,worst,other,Negative
312,one of those times  when you actually regret for not able give ratings less than zero pathetic service foods way costlier than its quality  over hyped description for the decor  i can go on and on    and jesus  ,price,Negative
313,one of those times  when you actually regret for not able give ratings less than zero pathetic service foods way costlier than its quality  over hyped description for the decor  i can go on and on    and jesus  ,quality,Negative
314,one of those times  when you actually regret for not able give ratings less than zero pathetic service foods way costlier than its quality  over hyped description for the decor  i can go on and on    and jesus  ,service,Negative
315,received incomplete order,service,Negative
316,i don t understand if they don t want to deliver why kfc shows as available ,service,Negative
317,everytime i place order most of the time it get declined after payment ,service,Negative
318,i am not worried about refund as it comes but food is all about cravings and i did order very hopefully but disappointed in the end food is always good from kfc but delivery service is worst,quality,Positive
319,i am not worried about refund as it comes but food is all about cravings and i did order very hopefully but disappointed in the end food is always good from kfc but delivery service is worst,service,Negative
320,terrible staff ,service,Negative
321,i don t remember when the last time i saw such horrible and unorganized staff ,service,Negative
322,most of the staff isn t aware of what order is being placed ,service,Negative
323,they end up getting the stuffs from their which you haven t ordered ,service,Negative
324,we had to wait for over an hour for our main course and then the food was also a big disappointment ,quality,Negative
325,we had to wait for over an hour for our main course and then the food was also a big disappointment ,service,Negative
326,i ordered veg dum biryani through zomato and i got just coloured basmati rice without vegetables  one packet gravy and water curd ,service,Negative
327,there is nothing other than colour basmati rice  there is no spices also ,service,Negative
328,never order online from here and i don t know about dinein,other,Negative
329,very bad behaviour of the staff  no one took the order for 45 minutes  when we asked the staff they were pointing at each other saying he will take order ,service,Negative
330,when we called the manager he was unnecessarily defending the staff saying they thought that table is for 4 other people must be joining ,service,Negative
331,sheer waste of time ,other,Negative
332,it seems like they have sent the maggie which was prepared 2 hrs back   not even hot ,quality,Negative
333,the cheese was added which did not even melt  ,quality,Negative
334,very bad experience through zomato,other,Negative
335,the so called cheese dip tasted like peanut chutney    had a good experience with this place before    but previous delivery was disappointing ,service,Negative
336,while i am eating my food i get this in my food the steel wire it cut my tongue inside ,quality,Negative
337,the worst experience while having my food i am suggesting don t buy shawarma from shah ghouse,other,Negative
338,i am still waiting for the pizza,service,Negative
339,just because a bunch of corporate guys request for retro songs  you shouldn t ignore the rest of the crowd ,service,Negative
340,food is ok ,quality,Positive
341,ordered c  biryani   m  biryani on 23 12 18   worst biryani   just tasted and thrown into dust bin     dont go with this restaurant   ,quality,Negative
342,don t ever go to this place  waste of money  if you give order the order will come after 45 mins ,service,Negative
343,behaviour of the staff is horrible  the partner owner even don t know about how to behave to customer ,service,Negative
344,worst place for vegetarians ,other,Negative
345,irresponsible team hiered spoillers ,service,Negative
346,ordered garlic cheese paratha and got live cockroach as accompaniment though i got full refund but that s not the solution ,service,Negative
347,triptify s service is getting worse day by day ,service,Negative
348,anyways it was my last order from triptify ,other,Negative
349,avoid ,other,Negative
350,this place is a scam ,service,Negative
351,then you get regular oily fatty suspiciously saucy indian takeaway full of sugar and complex carbohydrates  probably from some nearby restaurant or street food stand ,quality,Negative
352,no wonder it is low on calories  you can literally finish the whole plate in 4 bites ,quality,Negative
353,there were exactly 2 small chunks of chicken on it  maybe 25gr total  submerged in some ketchup based sweet sauce ,quality,Negative
354,it looked and tasted more like it was fried  although with the disgusting oily sauce sugar coating it all who knows ,quality,Negative
355,i should have taken a photo to show on this review and compare with the one on the menu but i was too hungry and mad to think about anything but eating the disappointing food ,quality,Negative
356,at least it wasn t too expensive  but definitely not healthy  not cheap  and not good quality food ,price,Negative
357,at least it wasn t too expensive  but definitely not healthy  not cheap  and not good quality food ,quality,Negative
358,worst food received  low quality rice was used  egg fried rice was almost spoiler  unable to eat ,quality,Negative
359,worst experience ever  does not recommend ,other,Negative
360,charging 10rs for packing but its bulshit  charging 10 for normal packings     comming to taste   i ordered chicken fry piece biryani which tasts nutral   means no flavour    very bad,quality,Negative
361,charging 10rs for packing but its bulshit  charging 10 for normal packings     comming to taste   i ordered chicken fry piece biryani which tasts nutral   means no flavour    very bad,service,Negative
362,very poor food and my items were missing,quality,Negative
363,very poor food and my items were missing,service,Negative
364,this outlet is the worst i have ever seen  ,other,Negative
365,there were cockroaches on table   food quality was bad and no one to take order on time ,quality,Negative
366,there were cockroaches on table   food quality was bad and no one to take order on time ,environment,Negative
367,there were cockroaches on table   food quality was bad and no one to take order on time ,service,Negative
368,please go to some other outlet don t ever try this outlet,other,Negative
369,pathetic management  this worst experience   would curse manager   found rats walking around  found food to be stinking liquor was smelling like pee glasses weren t washed properly  ,environment,Negative
370, hate to visit back again   ps  never visit this shitty place  ,other,Negative
371,i think there is no point of taking a buffet here ,other,Negative
372,i took a buffet for the purpose of having mutton curry  but it was spoilt ,quality,Negative
373,they serve you wine in plastic glasses ,service,Negative
374,staff is very rude and unprofessional and they literally force you to pay exorbitant tips at the end ,service,Negative
375,was a loyal customer earlier  never coming back here ever again ,other,Negative
376,my friend and i visited this place on the 13th of january around 1920 hrs and ordered your strong ale  we believe that the beer was coughed into and we both fell severly sick with a scratchy throat and dry cough ,quality,Negative
377,i dont know why dont your employees wear a mask when on duty because i do not think i will ever return to you guys and this was my second trip to you and the second trip made me fall sick ,service,Negative
378,i will spread it like wild fire for others before they fall sick  i can understand only one person falling sick but both falling sick with the same symptoms after consuming the strong ale beer then there is something definiately wrong and i am certain that the beer we were served was unhygienic or was contaminated beacsue on my visit on the 8th of jan i never fell sick with the strong ale it was on the 13th that my friend and i fell sick  ,quality,Negative
379,your staff would stand on my head to make sure i am not smoking pot and are you serious  ,service,Negative
380,i use fresh tobacco like american spirit and roll my cigarettes and never expected this kind of survelance upon rolling a cigarette and taking my loose tobacco original pouch packing to smell that it is not pot  i feel humilated ,service,Negative
381,train your staff on hygiene and educate them ,service,Negative
382,domino s doesn t live up to the standards any more ,other,Negative
383,i ordered a pizza and it was late with a delivery time of 1hour with a promised delivery of 30 mins ,service,Negative
384,once i got the pizza it was smashed  ,quality,Negative
385,when asked for a refund they said they will give me  domino s  credits ,service,Negative
386,however i didn t get the credits as well ,service,Negative
387,i will never order from dominos again and would advise that they shut down at least this store since they are not able to live up to the standards ,other,Negative
388,taste less food not well perpred   egg shell had mixed in food so please check once while preparing and quality is also not nice  this is the reason,quality,Negative
389,packing is good  but we have paid for it   salan   over spicey ,price,Negative
390,packing is good  but we have paid for it   salan   over spicey ,service,Positive
391,briyani rice is good   over masala and very less pieces of chicken    not happy,quality,Negative
392,bad food egg was smashed,quality,Negative
393,it s horrible experience     food was ok ok    m but coming to hygiene level it was totally disappointed      table was not at clear asked the two times for clean plate         ,quality,Positive
394,it s horrible experience     food was ok ok    m but coming to hygiene level it was totally disappointed      table was not at clear asked the two times for clean plate         ,environment,Negative
395,it s horrible experience     food was ok ok    m but coming to hygiene level it was totally disappointed      table was not at clear asked the two times for clean plate         ,service,Negative
396,the quantity given was less than a plate ,service,Negative
397,it was not worth the price at all ,price,Negative
398,a very bad experience ,other,Negative
399,i went here with my team  but the staff made sure that we had the worst experience ,other,Negative
400,the food was cold  served very late ,quality,Negative
